Address, City, State, ZIP, Backroom Stock, Floor Stock, In Transit Stock, Price, Aisles
6770 Westworth Blvd, Westworth Village, TX, 76114, 0, 3, 0, 46.5, K1-2
200 Us Highway 80 E, Mesquite, TX, 75149, 0, 0, 0, 50.0, K1-3
4691 State Highway 121, Colony, TX, 75056, 0, 3, 0, 45.5, K24-3
2800 Flower Mound Rd, Flower Mound, TX, 75022, 0, 0, 0, N/A, N/A
7401 Park Vista Blvd, Fort Worth, TX, 76137, 0, 0, 0, N/A, N/A
4801 S Cooper St, Arlington, TX, 76017, 0, 0, 0, 80.0, K20-3
7451 Mccart Ave, Fort Worth, TX, 76133, 0, 1, 0, 63.0, K13-6, K1-3
1515 Justin Rd, Lewisville, TX, 75077, 0, 0, 0, N/A, N/A
2900 Renaissance Square, Fort Worth, TX, 76105, 0, 0, 0, 52.0, K1-3
1035 Hickory Creek Blvd, Hickory Creek, TX, 75065, 0, 0, 0, 61.0, N24-4
621 Uptown Blvd, Cedar Hill, TX, 75104, 0, 0, 0, 47.5, L1-3
4536 Heritage Trace Parkway, Fort Worth, TX, 76244, 0, 0, 0, N/A, N/A
4800 Us 287 Highway, Arlington, TX, 76017, 0, 0, 0, 61.0, I1-3
8800 Lakeview Parkway, Rowlett, TX, 75088, 0, 0, 0, N/A, N/A
1025 W Trinity Mills, Carrollton, TX, 75006, 0, 0, 0, N/A, N/A
4122 L B J Fwy, Dallas, TX, 75244, 0, 0, 0, 50.0, K26-3
4851 S Cooper Street, Arlington, TX, 76017, 0, 0, 0, N/A, N/A
100 S Ryan Dr, Red Oak, TX, 75154, 0, 0, 0, 80.0, K1-3
2130 Rufe Snow Dr, Keller, TX, 76248, 0, 0, 0, N/A, N/A
951 W Belt Line Rd, Desoto, TX, 75115, 0, 0, 0, 80.0, K1-3
2121 N Collins St, Arlington, TX, 76011, 0, 0, 0, N/A, N/A
4904 Colleyville Blvd, Colleyville, TX, 76034, 0, 0, 0, N/A, N/A
6364 Lake Worth Blvd, Lake Worth, TX, 76135, 0, 0, 0, N/A, N/A
1520 E Exchange Pkwy, Allen, TX, 75002, 0, 0, 0, 119.0, N/A
1700 Dallas Pkwy, Plano, TX, 75093, 0, 1, 0, 60.0, K1-3
802 E Us Highway 80, Forney, TX, 75126, 0, 0, 0, 80.0, K18-3
